"GAME_ID","TEAM_ID","TEAM_ABBREVIATION","TEAM_CITY","PLAYER_ID","PLAYER_NAME","START_POSITION","COMMENT","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TO","PF","PTS","PLUS_MINUS"
"0041800403","1610612761","TOR","Toronto","202695","Kawhi Leonard","F","","38:25","9","17","0.529","2","6","0.333","10","11","0.909","2","5","7","6","2","2","4","3","30","6"
"0041800403","1610612761","TOR","Toronto","1627783","Pascal Siakam","F","","38:40","8","16","0.5","0","3","0","2","2","1","1","8","9","6","0","0","2","0","18","22"
"0041800403","1610612761","TOR","Toronto","201188","Marc Gasol","C","","26:10","6","11","0.545","1","4","0.25","4","4","1","0","7","7","4","0","0","2","4","17","14"
"0041800403","1610612761","TOR","Toronto","201980","Danny Green","G","","27:12","6","10","0.6","6","10","0.6","0","0","0","0","5","5","1","1","1","1","5","18","11"
"0041800403","1610612761","TOR","Toronto","200768","Kyle Lowry","G","","43:22","8","16","0.5","5","9","0.556","2","2","1","0","4","4","9","1","1","3","3","23","14"
"0041800403","1610612761","TOR","Toronto","1627832","Fred VanVleet","","","33:19","4","8","0.5","3","6","0.5","0","0","0","1","2","3","2","3","0","0","3","11","4"
"0041800403","1610612761","TOR","Toronto","201586","Serge Ibaka","","","21:50","2","4","0.5","0","0","0","2","2","1","1","4","5","1","2","6","2","4","6","0"
"0041800403","1610612761","TOR","Toronto","1627775","Patrick McCaw","","","2:13","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","-5"
"0041800403","1610612761","TOR","Toronto","1626181","Norman Powell","","","6:13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"0041800403","1610612761","TOR","Toronto","201975","Jodie Meeks","","","0:52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"0041800403","1610612761","TOR","Toronto","202391","Jeremy Lin","","","0:52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"0041800403","1610612761","TOR","Toronto","1626259","Malcolm Miller","","","0:52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"0041800403","1610612761","TOR","Toronto","1628384","OG Anunoby","","DNP - Coach's Decision                  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041800403","1610612744","GSW","Golden State","2738","Andre Iguodala","F","","30:38","4","8","0.5","2","6","0.333","1","2","0.5","2","4","6","3","1","0","0","0","11","-14"
"0041800403","1610612744","GSW","Golden State","203110","Draymond Green","F","","40:36","6","14","0.429","2","6","0.333","3","3","1","1","6","7","4","2","0","4","4","17","-10"
"0041800403","1610612744","GSW","Golden State","202326","DeMarcus Cousins","C","","19:24","1","7","0.143","0","1","0","2","3","0.667","0","3","3","2","1","0","3","2","4","-12"
"0041800403","1610612744","GSW","Golden State","2733","Shaun Livingston","G","","17:20","1","4","0.25","0","0","0","2","2","1","1","1","2","2","0","0","0","2","4","-14"
"0041800403","1610612744","GSW","Golden State","201939","Stephen Curry","G","","43:15","14","31","0.452","6","14","0.429","13","14","0.929","2","6","8","7","2","0","3","1","47","-8"
"0041800403","1610612744","GSW","Golden State","1626188","Quinn Cook","","","26:38","4","9","0.444","0","2","0","1","1","1","0","1","1","2","1","0","2","2","9","-8"
"0041800403","1610612744","GSW","Golden State","101106","Andrew Bogut","","","21:36","3","4","0.75","0","0","0","0","0","0","3","4","7","3","1","1","1","3","6","0"
"0041800403","1610612744","GSW","Golden State","1628035","Alfonzo McKinnie","","","18:05","1","4","0.25","1","3","0.333","0","1","0","1","2","3","1","0","0","1","4","3","0"
"0041800403","1610612744","GSW","Golden State","1628395","Jordan Bell","","","9:23","1","1","1","0","0","0","0","0","0","1","1","2","0","0","2","0","2","2","-2"
"0041800403","1610612744","GSW","Golden State","201973","Jonas Jerebko","","","9:51","1","6","0.167","1","3","0.333","3","4","0.75","2","0","2","1","0","0","0","1","6","0"
"0041800403","1610612744","GSW","Golden State","1628980","Jacob Evans","","","1:37","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1"
"0041800403","1610612744","GSW","Golden State","1627745","Damian Jones","","","1:37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1"
"0041800403","1610612744","GSW","Golden State","202691","Klay Thompson","","DNP - Coach's Decision                  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
