account,followers,exclusive_followers_pct
marwilliamson,2610335,0.748
BernieSanders,9254423,0.632
Hickenlooper,144816,0.563
CoryBooker,4246252,0.525
JoeBiden,3558333,0.438
AndrewYang,267897,0.434
TulsiGabbard,349443,0.347
BetoORourke,1424745,0.265
amyklobuchar,692985,0.24
PeteButtigieg,1033834,0.237
SenGillibrand,1410303,0.233
KamalaHarris,2640072,0.223
JulianCastro,212582,0.214
sethmoulton,138450,0.201
JayInslee,51504,0.19
ewarren,2486101,0.164
TimRyan,20080,0.156
JohnDelaney,20266,0.129
MichaelBennet,21053,0.117
ericswalwell,84415,0.092
